Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
255,Boban Marjanović,C,35,HOU,3,0,20,5,9,0.556,0,1,0,5,8,0.625,0.556,0,1,0,2,6,8,3,0,1,0,2,10,marjabo01
256,Lauri Markkanen,PF,26,UTA,11,11,366,89,185,0.481,43,101,0.426,46,84,0.548,0.597,42,48,0.875,25,70,95,16,10,9,17,26,263,markkla01
257,Naji Marshall,SF,26,NOP,2,0,34,7,12,0.583,2,5,0.4,5,7,0.714,0.667,8,8,1,3,3,6,4,1,2,3,4,24,marshna01
258,Caleb Martin,SF,28,MIA,1,0,20,1,7,0.143,0,3,0,1,4,0.25,0.143,0,0,,1,2,3,1,1,0,0,1,2,martica02
259,KJ Martin,SF,23,PHI,6,0,39,4,11,0.364,1,5,0.2,3,6,0.5,0.409,1,2,0.5,1,3,4,2,2,1,3,5,10,martike04
260,Garrison Mathews,SG,27,ATL,3,0,9,1,3,0.333,1,3,0.333,0,0,,0.5,0,0,,0,2,2,0,0,0,0,1,3,mathega01
261,Bennedict Mathurin,SF,21,IND,11,11,272,53,124,0.427,14,43,0.326,39,81,0.481,0.484,22,29,0.759,17,28,45,25,8,2,16,14,142,mathube01
262,Wesley Matthews,SG,37,ATL,1,0,7,2,2,1,2,2,1,0,0,,1.5,1,2,0.5,1,1,2,0,0,0,1,3,7,matthwe02
263,Tyrese Maxey,PG,23,PHI,10,10,379,102,207,0.493,33,77,0.429,69,130,0.531,0.572,47,50,0.94,8,45,53,70,9,10,14,19,284,maxeyty01
264,Skylar Mays,PG,26,POR,9,2,164,27,64,0.422,3,21,0.143,24,43,0.558,0.445,7,8,0.875,1,13,14,41,6,2,9,10,64,mayssk01
